RUN,SPEED1,TOTAL,SPEED2,NUMBER2,SENS,T20BOLT
25,2,10,"1,5",0,6,"11,4"
24,2,10,"1,5",0,10,"35,12"
30,2,10,"1,5",2,6,"22,56"
2,2,10,"1,5",2,10,"16,78"
40,2,10,"2,5",0,6,"33,34"
37,2,10,"2,5",0,10,"24,08"
16,2,10,"2,5",2,6,"18,44"
22,2,10,"2,5",2,10,"7,88"
33,2,30,"1,5",0,6,"18,01"
17,2,30,"1,5",0,10,"12,97"
28,2,30,"1,5",2,6,"12,36"
27,2,30,"1,5",2,10,"17,13"
14,2,30,"2,5",0,6,"12,68"
13,2,30,"2,5",0,10,"14,93"
4,2,30,"2,5",2,6,"15,9"
21,2,30,"2,5",2,10,"20,08"
23,6,10,"1,5",0,6,"26,84"
35,6,10,"1,5",0,10,"68,52"
19,6,10,"1,5",2,6,"79,48"
34,6,10,"1,5",2,10,"21,2"
31,6,10,"2,5",0,6,"57,78"
9,6,10,"2,5",0,10,"71,22"
38,6,10,"2,5",2,6,"34,4"
15,6,10,"2,5",2,10,12
39,6,30,"1,5",0,6,"86,3"
8,6,30,"1,5",0,10,"71,59"
26,6,30,"1,5",2,6,"74,44"
11,6,30,"1,5",2,10,"72,73"
6,6,30,"2,5",0,6,"66,95"
20,6,30,"2,5",0,10,"72,85"
10,6,30,"2,5",2,6,"70,97"
32,6,30,"2,5",2,10,"89,34"
1,4,20,2,1,8,"10,78"
3,4,20,2,1,8,"9,39"
5,4,20,2,1,8,"9,84"
7,4,20,2,1,8,"13,94"
12,4,20,2,1,8,"12,33"
18,4,20,2,1,8,"7,32"
29,4,20,2,1,8,"7,91"
36,4,20,2,1,8,"15,58"
